lat(°),long(°),height(m),time(s) 
-20.893068462610245,55.566046088933945,41.0,0
-20.8930154889822,55.56584165431559,40.79999923706055,0
-20.892962012439966,55.565638057887554,40.79999923706055,0
-20.892890682443976,55.56544519029558,40.400001525878906,0
-20.892815412953496,55.56524695828557,40.400001525878906,0
-20.892795966938138,55.56521183811128,40.20000076293945,0
-20.89274140074849,55.565013606101274,40.0,0
-20.89268473908305,55.56480430997908,40.0,0
-20.892610475420952,55.56460976600647,40.0,0
-20.892584659159184,55.56440658867359,39.79999923706055,0
-20.892594968900084,55.56419687345624,39.599998474121094,0
-20.892600417137146,55.5641058459878,39.20000076293945,0
-20.8926166780293,55.56388674303889,39.0,0
-20.892552891746163,55.56370250880718,38.79999923706055,0
-20.892511317506433,55.563496900722384,39.599998474121094,0
-20.89253470301628,55.5632802285254,40.20000076293945,0
-20.892557417973876,55.563252149149776,40.20000076293945,0
-20.89259723201394,55.56303899735212,40.599998474121094,0
-20.89260351844132,55.56283741258085,40.599998474121094,0
-20.89255222119391,55.562644712626934,41.400001525878906,0
-20.892539732158184,55.5626256018877,41.400001525878906,0
-20.89251358062029,55.56242988444865,41.79999923706055,0
-20.892518190667033,55.562224527820945,41.79999923706055,0
-20.892501259222627,55.56202964857221,42.0,0
-20.892521794885397,55.561910793185234,42.599998474121094,0
-20.89254979044199,55.56171675212681,43.20000076293945,0
-20.89254593476653,55.56164768524468,43.599998474121094,0
-20.892478628084064,55.56146043352783,44.0,0
-20.892457086592913,55.561254573985934,44.20000076293945,0
-20.89243210852146,55.561061119660735,44.400001525878906,0
-20.892400424927473,55.56089976802468,44.79999923706055,0
-20.89236404746771,55.56069650687277,45.0,0
-20.89228936471045,55.560516798868775,45.0,0
-20.892252987250686,55.560307586565614,44.599998474121094,0
-20.892201522365212,55.56013533845544,43.79999923706055,0
-20.892168832942843,55.559934340417385,43.400001525878906,0
-20.89213404804468,55.55972873233259,43.0,0
-20.892118457704782,55.55953578092158,42.79999923706055,0
-20.8921866863966,55.55933075957,42.599998474121094,0
-20.892207641154528,55.55913671851158,42.20000076293945,0
-20.892182160168886,55.55894217453897,41.79999923706055,0
-20.892181657254696,55.55872566998005,41.400001525878906,0
-20.892193894833326,55.5585312936455,41.20000076293945,0
-20.892231864854693,55.55834320373833,40.79999923706055,0
-20.892250891774893,55.558275477960706,40.599998474121094,0
-20.892343930900097,55.55809535086155,40.20000076293945,0
-20.892423391342163,55.55789946578443,39.79999923706055,0
-20.8924353774637,55.55781204253435,39.599998474121094,0
-20.892518106848,55.557628981769085,38.79999923706055,0
-20.892526069656014,55.55748690851033,38.599998474121094,0
-20.89255515486002,55.55727954022586,38.20000076293945,0
-20.89264065027237,55.55711517110467,37.400001525878906,0
-20.892749028280377,55.55693387053907,37.0,0
-20.892769396305084,55.55686363019049,36.79999923706055,0
-20.892824716866016,55.5566765461117,37.0,0
-20.892846006900072,55.556480661034584,37.400001525878906,0
-20.8929153252393,55.55628888309002,37.20000076293945,0
-20.89299109764397,55.55609400384128,36.79999923706055,0
-20.893078185617924,55.555918738245964,36.79999923706055,0
-20.893151108175516,55.555732073262334,36.79999923706055,0
-20.89321388863027,55.55553333833814,36.79999923706055,0
-20.89326619170606,55.55541138164699,36.400001525878906,0
-20.893411617726088,55.55529638193548,37.0,0
-20.893499543890357,55.55530669167638,37.400001525878906,0
-20.89361496269703,55.55533577688038,37.599998474121094,0
-20.893608927726746,55.555141819640994,37.20000076293945,0
-20.893609933555126,55.554938055574894,36.79999923706055,0
-20.8936199080199,55.55484124459326,36.400001525878906,0
-20.893652345985174,55.5546304397285,36.20000076293945,0
-20.893689477816224,55.55442617274821,35.79999923706055,0
-20.893733147531748,55.55427001789212,35.400001525878906,0
-20.89377631433308,55.55406759493053,35.20000076293945,0
-20.893830880522728,55.5538603104651,34.79999923706055,0
-20.89387740008533,55.55366006679833,34.599998474121094,0
-20.89392132125795,55.55345747619867,34.400001525878906,0
-20.89393012225628,55.553415566682816,34.400001525878906,0
-20.893994998186827,55.553219094872475,34.20000076293945,0
-20.894061801955104,55.55302295833826,34.0,0
-20.89414704591036,55.5528309289366,33.79999923706055,0
-20.8942415099591,55.552648454904556,33.400001525878906,0
-20.894348798319697,55.55249674245715,33.20000076293945,0
